dirs,Al,Ts,mean_E
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1000,-0.1708218178350651
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1100,-0.16901707294135687
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1200,-0.16738999911633165
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1300,-0.16685340089974063
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1400,-0.16568595809898576
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1500,-0.16299791994649937
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1600,-0.16048986059216994
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1700,-0.15934472735341845
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1800,-0.1596949231791445
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,1900,-0.15871045789889085
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2000,-0.15809159983768742
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2100,-0.1558321479333616
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2200,-0.15714526033073925
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2300,-0.15565074699325598
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2400,-0.1555185087344874
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2500,-0.15376876604031675
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2600,-0.15453648169646592
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2700,-0.15358706511239312
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2800,-0.15326327200626239
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,2900,-0.15371660889455857
Ti0.65_Al0.15_Nb0.10_Zr0.10,0.15,3000,-0.15311474471516648
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,300,-0.25168551577798165
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,400,-0.24913461524875738
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,500,-0.2462242350857781
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,600,-0.24225361069535808
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,700,-0.2335916607429683
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,800,-0.2292588363225501
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,900,-0.2269592013379805
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1000,-0.22425262956148445
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1100,-0.2217486806224316
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1200,-0.2206522223437205
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1300,-0.21949302242146904
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1400,-0.21960794120160787
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1500,-0.21661526480634138
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1600,-0.21446925437612185
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1700,-0.21272968616634882
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1800,-0.2090187871283105
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,1900,-0.20795545138430632
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2000,-0.20759682217806713
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2100,-0.20067009513608577
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2200,-0.20142535168998812
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2300,-0.19901507255901058
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2400,-0.19352898536442645
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2500,-0.1953519799744558
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2600,-0.1958302301592079
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2700,-0.19592907350324096
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2800,-0.19508935874890382
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,2900,-0.191882720799039
Ti0.60_Al0.20_Nb0.10_Zr0.10,0.2,3000,-0.190943918754822
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,300,-0.30661663093604913
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,400,-0.3046554987607193
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,500,-0.30084654047505577
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,600,-0.2957637637906142
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,700,-0.2925605788350217
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,800,-0.2886013327723769
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,900,-0.282670793384883
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1000,-0.2816717153160474
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1100,-0.2767985086342918
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1200,-0.2764599408962544
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1300,-0.27348527557151764
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1400,-0.27142918444715686
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1500,-0.26887758675047113
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1600,-0.26782488594797216
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1700,-0.2661056270221356
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1800,-0.26360096404664524
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,1900,-0.26266110139753907
