      #Energy        TDOS
      41.70539      23.73359
      41.89439      23.73482
      42.08339      23.73534
      42.27139      23.73543
      42.46039      23.73543
      42.64939      23.73543
      42.83839      23.73543
      43.02739      23.73543
      43.21539      23.73543
      43.40439      23.73543
      43.59339      23.73543
      43.78239      23.73543
      43.97139      23.73543
      44.15939      23.73543
      44.34839      23.73543
      44.53739      23.73543
      44.72639      23.73543
